device_name,qubit1,qubit2,gate_name,property_name,value,unit,vendor_measured_at,polled_at
ibm_fez,59,55,cz,gate_error,0.0020329822639999773,,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,59,55,cz,gate_length,68.0,ns,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,73,74,cz,gate_error,0.0021499797897703565,,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,73,74,cz,gate_length,68.0,ns,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,74,73,cz,gate_error,0.0021499797897703565,,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,74,73,cz,gate_length,68.0,ns,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,133,134,cz,gate_error,0.0025736254804021585,,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,133,134,cz,gate_length,68.0,ns,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,134,133,cz,gate_error,0.0025736254804021585,,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,134,133,cz,gate_length,68.0,ns,2026-08-30 05:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,59,75,cz,gate_error,0.0028229213093292627,,2026-08-30 05:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,59,75,cz,gate_length,68.0,ns,2026-08-30 05:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,75,59,cz,gate_error,0.0028229213093292627,,2026-08-30 05:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,75,59,cz,gate_length,68.0,ns,2026-08-30 05:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,14,15,cz,gate_error,0.0016413052734914613,,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,14,15,cz,gate_length,68.0,ns,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,15,14,cz,gate_error,0.0016413052734914613,,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,15,14,cz,gate_length,68.0,ns,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,9,10,cz,gate_error,0.0015164241496344044,,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,9,10,cz,gate_length,68.0,ns,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,10,9,cz,gate_error,0.0015164241496344044,,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,10,9,cz,gate_length,68.0,ns,2026-08-30 05:08:31-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,74,75,cz,gate_error,0.0026071382365195073,,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,74,75,cz,gate_length,68.0,ns,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,75,74,cz,gate_error,0.0026071382365195073,,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,75,74,cz,gate_length,68.0,ns,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,39,53,cz,gate_error,0.008799283355482301,,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,39,53,cz,gate_length,68.0,ns,2026-08-30 05:08:32-04:00,2026-08-31T00:06:47.272370+00:00
