device_name,qubit_index,property_name,value,unit,vendor_measured_at,polled_at
ibm_fez,9,init_error,0.005026402394857602,,2026-08-30 17:21:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,9,prob_meas0_prep1,0.00634765625,,2026-08-30 19:07:16-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,9,prob_meas1_prep0,0.0078125,,2026-08-30 19:07:53-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,9,readout_length,1660.0,ns,2026-08-30 19:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,10,readout_error,0.012451171875,,2026-08-30 19:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,10,init_error,0.0066028186890128,,2026-08-30 17:21:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,10,prob_meas0_prep1,0.00732421875,,2026-08-30 19:07:16-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,10,prob_meas1_prep0,0.017578125,,2026-08-30 19:07:54-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,10,readout_length,1660.0,ns,2026-08-30 19:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,11,readout_error,0.07958984375,,2026-08-30 19:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,11,prob_meas0_prep1,0.10205078125,,2026-08-30 19:07:16-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,11,prob_meas1_prep0,0.05712890625,,2026-08-30 19:07:54-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,11,readout_length,1660.0,ns,2026-08-30 19:08:32-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,12,readout_error,0.01513671875,,2026-08-30 19:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,12,prob_meas0_prep1,0.0166015625,,2026-08-30 19:07:17-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,12,prob_meas1_prep0,0.013671875,,2026-08-30 19:07:54-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,12,readout_length,1660.0,ns,2026-08-30 19:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,13,readout_error,0.009521484375,,2026-08-30 19:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,13,init_error,0.004566325563256164,,2026-08-30 14:46:04-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,13,prob_meas0_prep1,0.013671875,,2026-08-30 19:07:17-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,13,prob_meas1_prep0,0.00537109375,,2026-08-30 19:07:54-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,13,readout_length,1660.0,ns,2026-08-30 19:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,14,readout_error,0.005126953125,,2026-08-30 19:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,14,init_error,0.0034106681657366565,,2026-08-30 17:21:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,14,prob_meas0_prep1,0.0048828125,,2026-08-30 19:07:17-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,14,prob_meas1_prep0,0.00537109375,,2026-08-30 19:07:55-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,14,readout_length,1660.0,ns,2026-08-30 19:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,15,readout_error,0.030517578125,,2026-08-30 19:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,15,prob_meas0_prep1,0.02197265625,,2026-08-30 19:07:17-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,15,prob_meas1_prep0,0.0390625,,2026-08-30 19:07:55-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,15,readout_length,1660.0,ns,2026-08-30 19:08:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,16,readout_error,0.01123046875,,2026-08-30 19:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,16,init_error,0.0060023640777276555,,2026-08-30 17:21:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,16,prob_meas0_prep1,0.0185546875,,2026-08-30 19:07:18-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,16,prob_meas1_prep0,0.00390625,,2026-08-30 19:07:55-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,16,readout_length,1660.0,ns,2026-08-30 19:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,17,readout_error,0.006591796875,,2026-08-30 19:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,17,init_error,0.0016183081716970174,,2026-08-30 17:21:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,17,prob_meas0_prep1,0.01123046875,,2026-08-30 19:07:18-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,17,prob_meas1_prep0,0.001953125,,2026-08-30 19:07:55-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,17,readout_length,1660.0,ns,2026-08-30 19:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,18,readout_error,0.00390625,,2026-08-30 19:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,18,init_error,0.020257291197338535,,2026-08-30 17:21:33-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,18,prob_meas0_prep1,0.0048828125,,2026-08-30 19:07:18-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,18,prob_meas1_prep0,0.0029296875,,2026-08-30 19:07:56-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,18,readout_length,1660.0,ns,2026-08-30 19:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,19,readout_error,0.01806640625,,2026-08-30 19:08:34-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,19,prob_meas0_prep1,0.02001953125,,2026-08-30 19:07:18-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,19,prob_meas1_prep0,0.01611328125,,2026-08-30 19:07:56-04:00,2026-08-31T00:06:47.272370+00:00
ibm_fez,19,readout_length,1660.0,ns,2026-08-30 19:08:34-04:00,2026-08-31T00:06:47.272370+00:00
